orderid,currentstate,quantity,price,stopprice,ioc,aon,quantityfilled,quantityonmarket,fillcost,buysell,orderbookid
46230658,submitted,0.25,7214.6,,,,,,,1,1
46230659,submitted,1,7215.25,,,,,,,1,1
46230660,submitted,4.9961,7216.86,,,,,,,1,1
46230661,submitted,0.3,7217.05,,,,,,,1,1
46230662,submitted,4.5884,7217.36,,,,,,,1,1
46230663,submitted,0.16475036,7217.49,,,,,,,1,1
46230664,submitted,0.841,7219.17,,,,,,,1,1
46230665,submitted,0.3,7221.05,,,,,,,1,1
46230666,submitted,0.462,7221.37,,,,,,,1,1
46230667,submitted,3.37,7221.48,,,,,,,1,1
46230668,submitted,4.3499,7224.8,,,,,,,1,1
46230669,submitted,0.3,7225.05,,,,,,,1,1
46230670,submitted,9.79,7226.14,,,,,,,1,1
46230671,submitted,0.26216521,7228.17,,,,,,,1,1
46230672,submitted,0.3,7229.05,,,,,,,1,1
46230673,submitted,5.34,7229.19,,,,,,,1,1
46230674,submitted,0.52,7232.5,,,,,,,1,1
46230675,submitted,3.2666,7232.53,,,,,,,1,1
46230676,submitted,0.3,7233.05,,,,,,,1,1
46230677,submitted,11.2828,7235.21,,,,,,,1,1
46230678,submitted,0.098,7235.53,,,,,,,1,1
46230679,submitted,0.3,7237.05,,,,,,,1,1
46230680,submitted,0.24,7237.28,,,,,,,1,1
46230681,submitted,2.5,7238.67,,,,,,,1,1
46230682,submitted,0.25827632,7239.97,,,,,,,1,1
46230683,submitted,0.71,7240.89,,,,,,,1,1
46230684,submitted,0.3,7241.05,,,,,,,1,1
46230685,submitted,0.00488532,7241.93,,,,,,,1,1
46230686,submitted,10.1818,7244.14,,,,,,,1,1
46230687,submitted,2.41,7244.5,,,,,,,1,1
46230688,submitted,0.05,7250.4,,,,,,,1,1
46230689,submitted,8.37,7251.42,,,,,,,1,1
46230690,submitted,0.16394249,7252.11,,,,,,,1,1
46230691,submitted,2.577,7253.37,,,,,,,1,1
46230692,submitted,0.05,7257.6,,,,,,,1,1
46230693,submitted,9.6,7259.13,,,,,,,1,1
46230694,submitted,0.025,7263,,,,,,,1,1
46230695,submitted,23.97,7265.6,,,,,,,1,1
46230696,submitted,0.66391673,7267.06,,,,,,,1,1
46230697,submitted,5.8,7267.14,,,,,,,1,1
46230698,submitted,0.30212892,7281.66,,,,,,,1,1
46230699,submitted,0.02746091,7283.08,,,,,,,1,1
46230700,submitted,0.00488532,7289.42,,,,,,,1,1
46230701,submitted,0.05,7293.6,,,,,,,1,1
46230702,submitted,0.00007332,7295.44,,,,,,,1,1
46230703,submitted,0.00007332,7298,,,,,,,1,1
46230704,submitted,6.45088164,7300,,,,,,,1,1
46230705,submitted,0.00342464,7300.04,,,,,,,1,1
46230706,submitted,0.00007332,7300.57,,,,,,,1,1
46230707,submitted,0.00007332,7303.13,,,,,,,1,1
46230708,submitted,0.004442,7303.48,,,,,,,1,1
46230709,submitted,0.71781,7304.89,,,,,,,1,1
46230710,submitted,0.00007332,7305.69,,,,,,,1,1
46230711,submitted,0.051223,7307.68,,,,,,,1,1
46230712,submitted,0.00007332,7308.25,,,,,,,1,1
46230713,submitted,0.00007332,7310.82,,,,,,,1,1
46230714,submitted,0.00007332,7313.38,,,,,,,1,1
46230715,submitted,0.00007332,7315.94,,,,,,,1,1
46230716,submitted,0.00007332,7318.5,,,,,,,1,1
46230717,submitted,0.71781,7319.44,,,,,,,1,1
46230718,submitted,0.00007332,7321.07,,,,,,,1,1
46230719,submitted,7.176,7321.17,,,,,,,1,1
46230720,submitted,0.00007332,7323.63,,,,,,,1,1
46230721,submitted,0.00007332,7326.19,,,,,,,1,1
46230722,submitted,0.00007332,7328.75,,,,,,,1,1
46230723,submitted,0.00007332,7331.32,,,,,,,1,1
46230724,submitted,0.00007332,7333.88,,,,,,,1,1
46230725,submitted,0.00007332,7336.44,,,,,,,1,1
46230726,submitted,0.00488532,7336.9,,,,,,,1,1
46230727,submitted,7.3,7337.84,,,,,,,1,1
46230728,submitted,0.00007332,7339,,,,,,,1,1
46230729,submitted,0.00007332,7341.57,,,,,,,1,1
46230730,submitted,0.4155,7344,,,,,,,1,1
46230731,submitted,0.00007332,7344.13,,,,,,,1,1
46230732,submitted,0.00007332,7346.69,,,,,,,1,1
46230733,submitted,0.71781,7348.55,,,,,,,1,1
46230734,submitted,0.00007332,7349.25,,,,,,,1,1
46230735,submitted,0.32263196,7350,,,,,,,1,1
46230736,submitted,0.00007332,7351.82,,,,,,,1,1
46230737,submitted,0.00007332,7354.38,,,,,,,1,1
46230738,submitted,0.00007332,7356.94,,,,,,,1,1
46230739,submitted,0.00007332,7359.5,,,,,,,1,1
46230740,submitted,0.00007332,7362.07,,,,,,,1,1
46230741,submitted,0.00007332,7364.63,,,,,,,1,1
46230742,submitted,0.00007332,7367.19,,,,,,,1,1
46230743,submitted,0.00007332,7369.75,,,,,,,1,1
46230744,submitted,0.00007332,7372.32,,,,,,,1,1
46230745,submitted,0.00007332,7374.88,,,,,,,1,1
46230746,submitted,4.157,7375.19,,,,,,,1,1
46230747,submitted,0.00007332,7377.44,,,,,,,1,1
46230748,submitted,0.00007332,7380,,,,,,,1,1
46230749,submitted,0.00007332,7382.57,,,,,,,1,1
46230750,submitted,0.00488532,7384.39,,,,,,,1,1
46230751,submitted,0.00007332,7385.13,,,,,,,1,1
46230851,submitted,0.00488532,7099.47,,,,,,,0,1
46230850,submitted,0.10563395,7099.99,,,,,,,0,1
46230849,submitted,2.57959913,7100,,,,,,,0,1
46230848,submitted,0.00165909,7100.32,,,,,,,0,1
46230847,submitted,0.1667,7101,,,,,,,0,1
46230846,submitted,0.03520625,7101.01,,,,,,,0,1
46230845,submitted,0.0140311,7102.08,,,,,,,0,1
46230844,submitted,0.000075,7102.5,,,,,,,0,1
46230843,submitted,0.3786599,7104,,,,,,,0,1
46230842,submitted,0.00220146,7104.36,,,,,,,0,1
46230841,submitted,0.02822419,7105,,,,,,,0,1
46230840,submitted,0.00071624,7105.38,,,,,,,0,1
46230839,submitted,0.000075,7107.5,,,,,,,0,1
46230838,submitted,0.00070345,7107.78,,,,,,,0,1
46230837,submitted,0.07142858,7108.19,,,,,,,0,1
46230836,submitted,0.070075,7110,,,,,,,0,1
46230835,submitted,0.000075,7112.5,,,,,,,0,1
46230834,submitted,11.89,7114.28,,,,,,,0,1
46230833,submitted,0.0135887,7115,,,,,,,0,1
46230832,submitted,0.07027387,7115.02,,,,,,,0,1
46230831,submitted,0.6,7117.57,,,,,,,0,1
46230830,submitted,0.00228661,7119.69,,,,,,,0,1
46230829,submitted,0.10902471,7120,,,,,,,0,1
46230828,submitted,5.356,7120.96,,,,,,,0,1
46230827,submitted,1.05181052,7125,,,,,,,0,1
46230826,submitted,0.00070148,7127.78,,,,,,,0,1
46230825,submitted,1,7130,,,,,,,0,1
46230824,submitted,0.13974936,7133.69,,,,,,,0,1
46230823,submitted,0.02502719,7134.18,,,,,,,0,1
46230822,submitted,1,7135,,,,,,,0,1
46230821,submitted,0.00479109,7136.01,,,,,,,0,1
46230820,submitted,0.21212122,7137.38,,,,,,,0,1
